state,county,population,date,type,value,lat,long
CA,Napa,139417,2020-03-22,deaths,0,38.50735751,-122.332839
IL,Cook,5180493,2020-03-22,cases,805,41.84144849,-87.81658794
IL,Cook,5180493,2020-03-22,deaths,4,41.84144849,-87.81658794
IL,DuPage,928589,2020-03-22,cases,79,41.85116968,-88.08642662
IL,DuPage,928589,2020-03-22,deaths,0,41.85116968,-88.08642662
IL,Lake,700832,2020-03-22,cases,69,42.3224907,-88.00367925
IL,Lake,700832,2020-03-22,deaths,0,42.3224907,-88.00367925
IL,Will,692310,2020-03-22,cases,21,41.44619267,-87.97862712
IL,Will,692310,2020-03-22,deaths,1,41.44619267,-87.97862712
IL,Kane,534216,2020-03-22,cases,13,41.93842729,-88.42861412
IL,Kane,534216,2020-03-22,deaths,0,41.93842729,-88.42861412
IL,McHenry,308570,2020-03-22,cases,12,42.32451172,-88.45248227
IL,McHenry,308570,2020-03-22,deaths,0,42.32451172,-88.45248227
IL,McLean,172828,2020-03-22,cases,6,40.48996987,-88.84621113
IL,McLean,172828,2020-03-22,deaths,0,40.48996987,-88.84621113
IL,Sangamon,195348,2020-03-22,cases,4,39.75836914,-89.65872023
IL,Sangamon,195348,2020-03-22,deaths,1,39.75836914,-89.65872023
IL,Winnebago,284081,2020-03-22,cases,4,42.33641854,-89.16085327
IL,Winnebago,284081,2020-03-22,deaths,0,42.33641854,-89.16085327
IL,Kendall,127915,2020-03-22,cases,4,41.59081014,-88.42869583
IL,Kendall,127915,2020-03-22,deaths,0,41.59081014,-88.42869583
IL,St. Clair,261059,2020-03-22,cases,3,38.46996033,-89.93063427
IL,St. Clair,261059,2020-03-22,deaths,0,38.46996033,-89.93063427
IL,Clinton,37639,2020-03-22,cases,3,38.60704876,-89.42385254
IL,Clinton,37639,2020-03-22,deaths,0,38.60704876,-89.42385254
IL,Peoria,180621,2020-03-22,cases,3,40.78702156,-89.76078901
IL,Peoria,180621,2020-03-22,deaths,0,40.78702156,-89.76078901
IL,Woodford,38463,2020-03-22,cases,2,40.78579374,-89.20973757
IL,Woodford,38463,2020-03-22,deaths,0,40.78579374,-89.20973757
IL,Madison,264461,2020-03-22,cases,2,38.83042506,-89.90422563
IL,Madison,264461,2020-03-22,deaths,0,38.83042506,-89.90422563
IL,Kankakee,110024,2020-03-22,cases,2,41.13746989,-87.86205334
IL,Kankakee,110024,2020-03-22,deaths,0,41.13746989,-87.86205334
IL,Unassigned,,2020-03-22,cases,2,0,0
IL,Unassigned,,2020-03-22,deaths,3,0,0
IL,Champaign,209983,2020-03-22,cases,2,40.13919438,-88.20046615
IL,Champaign,209983,2020-03-22,deaths,0,40.13919438,-88.20046615
IL,Cumberland,10808,2020-03-22,cases,1,39.27432424,-88.2401158
IL,Cumberland,10808,2020-03-22,deaths,0,39.27432424,-88.2401158
IL,Whiteside,55626,2020-03-22,cases,1,41.75509713,-89.91556058
IL,Whiteside,55626,2020-03-22,deaths,0,41.75509713,-89.91556058
IL,Jackson,57419,2020-03-22,cases,1,37.78595185,-89.38232563
IL,Jackson,57419,2020-03-22,deaths,0,37.78595185,-89.38232563
IL,Williamson,67056,2020-03-22,cases,1,37.73033511,-88.92994027
IL,Williamson,67056,2020-03-22,deaths,0,37.73033511,-88.92994027
IL,LaSalle,109430,2020-03-22,cases,1,41.3442613,-88.88633881
IL,LaSalle,109430,2020-03-22,deaths,0,41.3442613,-88.88633881
IL,Washington,13995,2020-03-22,cases,1,38.35309213,-89.40982703
IL,Washington,13995,2020-03-22,deaths,0,38.35309213,-89.40982703
IL,Adams,65691,2020-03-22,cases,1,39.98815591,-91.18786813
IL,Adams,65691,2020-03-22,deaths,0,39.98815591,-91.18786813
IL,Christian,32661,2020-03-22,cases,1,39.54581621,-89.27780482
IL,Christian,32661,2020-03-22,deaths,0,39.54581621,-89.27780482
IL,DeKalb,104143,2020-03-22,cases,1,41.89373302,-88.76958483
IL,DeKalb,104143,2020-03-22,deaths,0,41.89373302,-88.76958483
IL,Jo Daviess,21366,2020-03-22,cases,1,42.36542373,-90.21094405
IL,Jo Daviess,21366,2020-03-22,deaths,0,42.36542373,-90.21094405
IL,Stephenson,44753,2020-03-22,cases,1,42.35129217,-89.662598
IL,Stephenson,44753,2020-03-22,deaths,0,42.35129217,-89.662598
IL,Livingston,35761,2020-03-22,cases,1,40.89188292,-88.55784752
IL,Livingston,35761,2020-03-22,deaths,0,40.89188292,-88.55784752
IL,Rock Island,143477,2020-03-22,cases,1,41.46613806,-90.57042164
IL,Rock Island,143477,2020-03-22,deaths,0,41.46613806,-90.57042164
MI,Wayne,1753893,2020-03-22,cases,477,42.28098405,-83.281255
MI,Wayne,1753893,2020-03-22,deaths,5,42.28098405,-83.281255
MI,Oakland,1259201,2020-03-22,cases,277,42.66090111,-83.38595416
MI,Oakland,1259201,2020-03-22,deaths,2,42.66090111,-83.38595416
MI,Macomb,874759,2020-03-22,cases,140,42.69158356,-82.92752801
MI,Macomb,874759,2020-03-22,deaths,1,42.69158356,-82.92752801
MI,Washtenaw,370963,2020-03-22,cases,35,42.253105,-83.83853204
MI,Washtenaw,370963,2020-03-22,deaths,0,42.253105,-83.83853204
MI,Kent,653786,2020-03-22,cases,22,43.03197711,-85.54934642
MI,Kent,653786,2020-03-22,deaths,1,43.03197711,-85.54934642
MI,Genesee,406892,2020-03-22,cases,14,43.02244215,-83.70589709
